"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"448","5.547218173","10.43.1.228","52.35.88.102","TCP","66","59610","443","59610  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1767711697 TSecr=2241060679"
"449","5.547405822","52.35.88.102","10.43.1.228","TCP","66","443","59610","[TCP ACKed unseen segment] 443  >  59610 [ACK] Seq=1 Ack=2 Win=993 Len=0 TSval=2241070789 TSecr=1767691564"
"484","6.315170070","10.43.1.228","13.224.21.88","TCP","66","33138","443","33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143583018 TSecr=2774299767"
"485","6.315297147","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774310007 TSecr=4143562738"
"604","8.255067670","10.43.1.228","13.224.21.66","TLSv1.2","502","60270","443","Application Data"
"605","8.255245809","13.224.21.66","10.43.1.228","TCP","66","443","60270","443  >  60270 [ACK] Seq=1 Ack=437 Win=890 Len=0 TSval=4029006142 TSecr=2529097932"
"608","8.263329331","13.224.21.66","10.43.1.228","TLSv1.2","646","443","60270","Application Data"
"609","8.263397395","10.43.1.228","13.224.21.66","TCP","66","60270","443","60270  >  443 [ACK] Seq=437 Ack=581 Win=621 Len=0 TSval=2529097940 TSecr=4029006152"
"726","10.411219362","10.43.1.228","52.40.41.239","TCP","66","36002","443","[TCP Dup ACK 17#1] 36002  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2440112432 TSecr=3657128103"
"727","10.411240362","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#1] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007447810 TSecr=2483922251"
"729","10.411351723","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#1] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483932491 TSecr=1007427386"
"730","10.411575711","52.40.41.239","10.43.1.228","TCP","66","443","36002","[TCP Dup ACK 18#1] [TCP ACKed unseen segment] 443  >  36002 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=3657138223 TSecr=2440092306"
"776","11.179154498","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#1] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773078469 TSecr=2822991664"
"777","11.179274211","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#1] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823001904 TSecr=773058198"
"851","12.459331088","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Dup ACK 122#1] 54068  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713278013 TSecr=3326332338"
"852","12.459471664","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Dup ACK 123#1] [TCP ACKed unseen segment] 80  >  54068 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=3326342578 TSecr=1713247571"
"893","12.971280618","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Dup ACK 197#1] 54070  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713278525 TSecr=1056684346"
"894","12.971445002","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Dup ACK 198#1] [TCP ACKed unseen segment] 80  >  54070 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=1056694586 TSecr=1713247969"
"994","14.507303925","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Dup ACK 379#1] 48512  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007451906 TSecr=4171337846"
"995","14.507327936","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Dup ACK 380#1] 48510  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007451906 TSecr=2798287387"
"996","14.507478496","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Dup ACK 381#1] [TCP ACKed unseen segment] 80  >  48512 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=4171348086 TSecr=1007421490"
"997","14.507508497","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Dup ACK 382#1] [TCP ACKed unseen segment] 80  >  48510 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2798297627 TSecr=1007421410"
"1012","14.763311855","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#1] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043898008 TSecr=2328256769"
"1013","14.763327629","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#1] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081629986 TSecr=625149885"
"1014","14.763473881","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#1] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328267009 TSecr=3043867614"
"1015","14.763502930","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#1] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625160125 TSecr=3081599597"
"1084","15.787198050","10.43.1.228","52.35.88.102","TCP","66","59610","443","[TCP Dup ACK 448#1] 59610  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1767721937 TSecr=2241070789"
"1085","15.787369561","52.35.88.102","10.43.1.228","TCP","66","443","59610","[TCP Dup ACK 449#1] [TCP ACKed unseen segment] 443  >  59610 [ACK] Seq=1 Ack=2 Win=993 Len=0 TSval=2241081029 TSecr=1767691564"
"1133","16.555317391","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#1] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143593258 TSecr=2774310007"
"1134","16.555478988","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#1] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774320247 TSecr=4143562738"
"1220","18.347243288","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529108024 TSecr=4029006152"
"1221","18.347425699","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029016232 TSecr=2529097940"
"1349","20.651333103","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#2] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007458050 TSecr=2483932491"
"1350","20.651351047","10.43.1.228","52.40.41.239","TCP","66","36002","443","[TCP Dup ACK 17#2] 36002  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2440122672 TSecr=3657138223"
"1351","20.651522729","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#2] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483942731 TSecr=1007427386"
"1352","20.651551944","52.40.41.239","10.43.1.228","TCP","66","443","36002","[TCP Dup ACK 18#2] [TCP ACKed unseen segment] 443  >  36002 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=3657148463 TSecr=2440092306"
"1401","21.419238410","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#2] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773088709 TSecr=2823001904"
"1402","21.419342280","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#2] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823012144 TSecr=773058198"
"1480","22.699282057","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Dup ACK 122#2] 54068  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713288253 TSecr=3326342578"
"1481","22.699427792","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Dup ACK 123#2] [TCP ACKed unseen segment] 80  >  54068 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=3326352818 TSecr=1713247571"
"1513","23.211130435","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Dup ACK 197#2] 54070  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713288765 TSecr=1056694586"
"1514","23.211286743","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Dup ACK 198#2] [TCP ACKed unseen segment] 80  >  54070 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=1056704826 TSecr=1713247969"
"1590","24.747290601","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Dup ACK 379#2] 48512  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007462146 TSecr=4171348086"
"1591","24.747305187","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Dup ACK 380#2] 48510  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007462146 TSecr=2798297627"
"1592","24.747462521","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Dup ACK 381#2] [TCP ACKed unseen segment] 80  >  48512 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=4171358326 TSecr=1007421490"
"1593","24.747477631","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Dup ACK 382#2] [TCP ACKed unseen segment] 80  >  48510 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2798307867 TSecr=1007421410"
"1613","25.003168537","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#2] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043908248 TSecr=2328267009"
"1614","25.003182581","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#2] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081640226 TSecr=625160125"
"1615","25.003346329","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#2] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328277249 TSecr=3043867614"
"1616","25.003372769","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#2] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625170365 TSecr=3081599597"
"1703","26.027213444","10.43.1.228","52.35.88.102","TCP","66","59610","443","[TCP Dup ACK 448#2] 59610  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1767732177 TSecr=2241081029"
"1704","26.027332143","52.35.88.102","10.43.1.228","TCP","66","443","59610","[TCP Dup ACK 449#2] [TCP ACKed unseen segment] 443  >  59610 [ACK] Seq=1 Ack=2 Win=993 Len=0 TSval=2241091269 TSecr=1767691564"
"1765","26.799110226","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#2] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143603502 TSecr=2774320247"
"1766","26.799216246","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#2] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774330487 TSecr=4143562738"
"1871","28.591306568","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529118268 TSecr=4029016232"
"1872","28.591430106","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029026482 TSecr=2529097940"
"1996","30.891210302","10.43.1.228","52.40.41.239","TCP","66","36002","443","[TCP Dup ACK 17#3] 36002  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2440132912 TSecr=3657148463"
"1997","30.891240187","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#3] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007468290 TSecr=2483942731"
"1998","30.891313606","52.40.41.239","10.43.1.228","TCP","66","443","36002","[TCP Dup ACK 18#3] [TCP ACKed unseen segment] 443  >  36002 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=3657158703 TSecr=2440092306"
"1999","30.891353647","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#3] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483952971 TSecr=1007427386"
"2034","31.659338022","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#3] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773098949 TSecr=2823012144"
"2035","31.659482443","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#3] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823022384 TSecr=773058198"
"2107","32.939199505","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Dup ACK 122#3] 54068  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713298493 TSecr=3326352818"
"2108","32.939328426","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Dup ACK 123#3] [TCP ACKed unseen segment] 80  >  54068 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=3326363058 TSecr=1713247571"
"2131","33.451309352","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Dup ACK 197#3] 54070  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1713299005 TSecr=1056704826"
"2132","33.451450020","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Dup ACK 198#3] [TCP ACKed unseen segment] 80  >  54070 [ACK] Seq=1 Ack=2 Win=1019 Len=0 TSval=1056715066 TSecr=1713247969"
"2205","34.987204452","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Dup ACK 379#3] 48512  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007472386 TSecr=4171358326"
"2206","34.987236495","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Dup ACK 380#3] 48510  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007472386 TSecr=2798307867"
"2208","34.987371249","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Dup ACK 381#3] [TCP ACKed unseen segment] 80  >  48512 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=4171368566 TSecr=1007421490"
"2209","34.987401202","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Dup ACK 382#3] [TCP ACKed unseen segment] 80  >  48510 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2798318107 TSecr=1007421410"
"2221","35.243332064","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#3] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081650466 TSecr=625170365"
"2222","35.243355025","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#3] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043918488 TSecr=2328277249"
"2223","35.243447216","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#3] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625180605 TSecr=3081599597"
"2224","35.243482737","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#3] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328287489 TSecr=3043867614"
"2286","36.267323421","10.43.1.228","52.35.88.102","TCP","66","59610","443","[TCP Dup ACK 448#3] 59610  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1767742417 TSecr=2241091269"
"2287","36.267510623","52.35.88.102","10.43.1.228","TCP","66","443","59610","[TCP Dup ACK 449#3] [TCP ACKed unseen segment] 443  >  59610 [ACK] Seq=1 Ack=2 Win=993 Len=0 TSval=2241101509 TSecr=1767691564"
"2325","37.035299913","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#3] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143613738 TSecr=2774330487"
"2326","37.035443512","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#3] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774340727 TSecr=4143562738"
"2394","37.912690869","10.43.1.228","52.43.139.170","TCP","74","51944","443","51944  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=863887841 TSecr=0 WS=128"
"2395","37.912771710","10.43.1.228","52.43.139.170","TCP","74","51946","443","51946  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=863887841 TSecr=0 WS=128"
"2396","37.912787926","52.43.139.170","10.43.1.228","TCP","74","443","51944","443  >  51944 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM=1 TSval=4164894037 TSecr=863887841"
"2397","37.912828284","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=863887841 TSecr=4164894037"
"2398","37.912876249","52.43.139.170","10.43.1.228","TCP","74","443","51946","443  >  51946 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM=1 TSval=3078014814 TSecr=863887841"
"2399","37.912901396","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=863887841 TSecr=3078014814"
"2400","37.913008461","10.43.1.228","52.43.139.170","TLSv1.2","279","51944","443","Client Hello"
"2401","37.913162635","10.43.1.228","52.43.139.170","TLSv1.2","279","51946","443","Client Hello"
"2402","37.913172698","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [ACK] Seq=1 Ack=214 Win=65280 Len=0 TSval=4164894037 TSecr=863887841"
"2403","37.913268729","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=1 Ack=214 Win=65280 Len=0 TSval=3078014814 TSecr=863887841"
"2461","38.827285162","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529128504 TSecr=4029026482"
"2462","38.827454594","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029036712 TSecr=2529097940"
"2491","39.318610518","52.43.139.170","10.43.1.228","TLSv1.2","1434","443","51944","Server Hello"
"2492","39.318658154","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=214 Ack=1369 Win=64128 Len=0 TSval=863889247 TSecr=4164895437"
"2493","39.318665177","52.43.139.170","10.43.1.228","TCP","1434","443","51944","443  >  51944 [PSH, ACK] Seq=1369 Ack=214 Win=65280 Len=1368 TSval=4164895437 TSecr=863887841 [TCP segment of a reassembled PDU]"
"2494","39.318673160","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=214 Ack=2737 Win=63616 Len=0 TSval=863889247 TSecr=4164895437"
"2495","39.318675135","52.43.139.170","10.43.1.228","TLSv1.2","733","443","51944","Certificate, Server Key Exchange, Server Hello Done"
"2496","39.318679947","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=214 Ack=3404 Win=62976 Len=0 TSval=863889247 TSecr=4164895437"
"2497","39.323899781","10.43.1.228","52.43.139.170","TLSv1.2","192","51944","443","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"2498","39.324013938","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [ACK] Seq=3404 Ack=340 Win=65152 Len=0 TSval=4164895447 TSecr=863889252"
"2499","39.324036875","10.43.1.228","117.18.237.29","OCSP","445","48510","80","[TCP Previous segment not captured] Request"
"2500","39.324194359","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP ACKed unseen segment] 80  >  48510 [ACK] Seq=1 Ack=381 Win=1012 Len=0 TSval=2798322447 TSecr=1007476723"
"2501","39.325649355","52.43.139.170","10.43.1.228","TLSv1.2","1354","443","51946","Server Hello"
"2502","39.325671398","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=214 Ack=1289 Win=64128 Len=0 TSval=863889254 TSecr=3078016224"
"2503","39.325724608","52.43.139.170","10.43.1.228","TCP","1354","443","51946","443  >  51946 [PSH, ACK] Seq=1289 Ack=214 Win=65280 Len=1288 TSval=3078016224 TSecr=863887841 [TCP segment of a reassembled PDU]"
"2504","39.325731191","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=214 Ack=2577 Win=63616 Len=0 TSval=863889254 TSecr=3078016224"
"2505","39.325863012","52.43.139.170","10.43.1.228","TLSv1.2","893","443","51946","Certificate, Server Key Exchange, Server Hello Done"
"2506","39.325868317","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=214 Ack=3404 Win=64128 Len=0 TSval=863889254 TSecr=3078016224"
"2507","39.330640557","10.43.1.228","52.43.139.170","TLSv1.2","192","51946","443","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"2508","39.330755580","10.43.1.228","117.18.237.29","OCSP","445","48512","80","[TCP Previous segment not captured] Request"
"2509","39.330761256","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3404 Ack=340 Win=65152 Len=0 TSval=3078016224 TSecr=863889259"
"2510","39.330874803","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP ACKed unseen segment] 80  >  48512 [ACK] Seq=1 Ack=381 Win=1012 Len=0 TSval=4171372916 TSecr=1007476730"
"2534","39.603394716","52.43.139.170","10.43.1.228","TLSv1.2","117","443","51944","Change Cipher Spec, Encrypted Handshake Message"
"2535","39.603499656","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=340 Ack=3455 Win=64128 Len=0 TSval=863889531 TSecr=4164895727"
"2536","39.614241509","52.43.139.170","10.43.1.228","TLSv1.2","117","443","51946","Change Cipher Spec, Encrypted Handshake Message"
"2537","39.614345705","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=340 Ack=3455 Win=64128 Len=0 TSval=863889542 TSecr=3078016514"
"2548","39.806247107","117.18.237.29","10.43.1.228","OCSP","934","80","48510","Response"
"2549","39.806284614","10.43.1.228","117.18.237.29","TCP","66","48510","80","48510  >  80 [ACK] Seq=381 Ack=869 Win=501 Len=0 TSval=1007477205 TSecr=2798322927"
"2550","39.806288706","117.18.237.29","10.43.1.228","OCSP","934","80","48512","Response"
"2551","39.806294005","10.43.1.228","117.18.237.29","TCP","66","48512","80","48512  >  80 [ACK] Seq=381 Ack=869 Win=501 Len=0 TSval=1007477205 TSecr=4171373386"
"2552","39.807978977","10.43.1.228","52.43.139.170","TCP","1514","51944","443","51944  >  443 [ACK] Seq=340 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=4164895727 [TCP segment of a reassembled PDU]"
